ID, Fullname, Birthday, Gender, Class
706d9224-5637-456a-88d3-a1c1b1215f22, Le Ngoc Phuong, 2/15/2005 12:00:00 AM, Female, 6f69a5df-288a-41c9-ac6f-7ce3372e9589
dd9959b1-e453-47f8-aa6d-cadc439ce1b4, Nguyen Ngoc Cong, 8/24/2003 12:00:00 AM, Female, a979d354-17a9-4125-8c5a-6b3f1e038f95
c89964d5-e980-4512-8f75-5ef4d034c1ca, Ly Trung Cong, 12/10/2004 12:00:00 AM, Male, 0946e13f-682a-4900-887c-058cbc9e5aff
417acfb9-403f-4ab7-a9e6-1a084532b88c, Lam Hong Phuong, 6/9/2005 12:00:00 AM, Male, 2f68f52a-6d2e-4d2d-91b4-ff9f38015139
58a312f1-9fcc-439a-920f-b3c1078f9371, Nguyen Thanh Han, 11/16/2002 12:00:00 AM, Female, c11ba225-d38f-4389-a2d6-b0ecb2ba3092
4d3f24f8-ff25-4142-86da-553f73fef0c9, Ly Ngoc Han, 5/10/2001 12:00:00 AM, Male, 9b308784-9b88-46d6-aa96-5738a8e776ac
2ee14c8b-4fbc-45fc-8bfd-bbb052ad52d5, Le Hong Mai, 7/31/2003 12:00:00 AM, Male, 6878a9ae-35ef-44b4-88e1-bfac81952fc5
d7e4960b-877e-4ec3-8354-b5125ef01f4d, Lam Thanh Mai, 7/11/2004 12:00:00 AM, Female, 06e20c00-2a00-4fbc-9a6d-46265e956e0a
c1b3b1f3-c544-4f97-a3f2-d7997abc823d, Lam Thanh Han, 12/8/2001 12:00:00 AM, Female, 57084204-9d2e-4b59-aa2a-c2ebc4dc10d1
0549c9f6-a9a7-4aad-b3ab-3feac3ce8d17, Ly Ngoc Cong, 10/10/1999 12:00:00 AM, Male, 45de5d4e-2f59-442b-b48f-9d117ff091e7
3d10d109-69f5-4cd8-8ac4-dc3b07ab62d3, Ly Ngoc Mai, 1/31/2005 12:00:00 AM, Male, f6f4f197-bb37-4eb6-8e96-af6824479a95
ca8471ba-f9b8-4430-a754-bc780eadc978, Nguyen Ngoc Cong, 9/8/2003 12:00:00 AM, Male, 6c299d6a-ec0f-42f0-87e0-7acf5c5e14ea
ebf6cf11-0765-489c-bc10-6319bed7677e, Lam Ngoc Cong, 2/8/2001 12:00:00 AM, Male, 66e6e66d-d45c-413f-870c-86735d19e6d1
00d17c17-bb96-434b-b050-ca14e00b95ba, Kha Thanh Cuong, 12/4/2000 12:00:00 AM, Female, fd46ce3a-d809-4b55-9549-5af99c9daac7
5da1a863-7ef6-4c9a-8da1-d7daaabae758, Le Trung Cong, 1/30/2000 12:00:00 AM, Male, fe41e66f-3ba0-4e16-8f62-2b5f3586b0d5
d8b0f35f-8e73-4a89-a6f0-f047a6cd4d17, Kha Thanh Mai, 10/2/1999 12:00:00 AM, Male, d1ee7258-802a-4570-a697-65f4b8c5efa1
38653fa3-7012-4e44-a04b-32c9339227eb, Ly Thanh Phuong, 1/25/1999 12:00:00 AM, Male, d2c46660-eea8-4cd8-a230-c30b0da4ad14
310ef459-4d34-41f4-a8ba-bfd661747e9e, Ly Hong Mai, 6/15/2003 12:00:00 AM, Male, ef85f6fd-c5a1-4a60-bd20-c12814d0c30a
c01ee8ae-6301-4aed-bf18-e1f8cdf644b0, Kha Thanh Phuong, 12/28/2003 12:00:00 AM, Female, 52465eef-3087-4645-802f-061e165bf476
e7d5a148-691f-483f-b397-c43abd354550, Kha Hong Mai, 3/5/2002 12:00:00 AM, Male, 7af14a6a-1706-48ba-b254-7662bd684592
9a909671-fa5b-4c1c-b5e7-9d47443e7802, Lam Hong Cuong, 3/12/2003 12:00:00 AM, Female, 71ea7a11-616e-46e6-9aed-cd58741b7bdf
b41f3d07-da13-4e91-b3c4-ad4f7f499ecd, Nguyen Thanh Mai, 3/3/2000 12:00:00 AM, Male, f9924427-783e-448c-80a6-a21ac2b750ea
9d1ad18e-baea-4ed4-a14e-75d9e09becde, Kha Trung Han, 12/11/2004 12:00:00 AM, Female, 2a926648-dd93-4811-bee6-02f0c011b40d
70f9edfb-5002-498a-84cd-199933dcc470, Nguyen Hong Cuong, 4/19/2001 12:00:00 AM, Female, 8518ddd7-2ff1-45dc-bd4f-83436746ba8e
4d4e78da-562d-4872-a27b-9486269467de, Kha Thanh Han, 12/17/1999 12:00:00 AM, Female, cbcd3019-6107-4b16-bbe5-c6e595dbb619
a469c203-5e03-4e65-9b7c-c94fe5628772, Ly Hong Mai, 10/4/2000 12:00:00 AM, Male, 88d2f30c-baf5-4f2a-ad45-4195193daf8a
7eae2b0a-2781-4e6d-9f04-7b933d1ce2dc, Kha Hong Cuong, 4/11/2000 12:00:00 AM, Male, bc25bfd2-004e-42b4-80a7-472a62e704de
60e731a6-5726-4458-a2e9-5e09b57042f7, Nguyen Trung Mai, 5/8/2005 12:00:00 AM, Female, e95ed7e1-34d2-4a85-868a-aa4111ab0229
d4ff02f7-a939-495b-92cf-9862ba659b4e, Lam Thanh Cuong, 1/20/2002 12:00:00 AM, Male, aaec259b-2b91-494b-a447-1500f5f9ae5b
bbb9cd2f-0ec9-48cf-a19c-45fc9650cd01, Le Thanh Mai, 4/28/2001 12:00:00 AM, Female, a1966c34-e8a8-4fb7-aeba-ff5401dfd43f
6412993f-b9b4-4795-b839-05494c4f28df, Ly Ngoc Phuong, 8/1/2004 12:00:00 AM, Female, 511faf6b-a596-424c-ac66-4572f4f5d6d5
e3307583-aaf7-478e-8095-90ce4ddf86c0, Ly Ngoc Han, 5/23/2003 12:00:00 AM, Male, ac043d32-654f-4ad5-b0ac-73b61b54190e
403b518d-de4e-428d-9825-3ceffc00d88f, Le Thanh Han, 6/17/2001 12:00:00 AM, Male, f21edc4b-a426-4de8-b541-ff4c3a17ec11
eec085e7-c2e4-40b5-8ff8-573bdf993fcd, Ly Thanh Cong, 11/18/2005 12:00:00 AM, Male, f9c27626-4448-4683-a086-f56e77f094ca
d83b9975-c007-48f9-8235-10da4c9eb210, Nguyen Ngoc Han, 6/15/2005 12:00:00 AM, Female, fbfc369c-6686-4584-b33b-1ec9c3751126
84c4d1a9-9947-447a-a2cb-c71b91e9d916, Le Thanh Mai, 6/27/2003 12:00:00 AM, Male, 50a53d32-7ae2-41f9-8256-b92f64d39abe
b59a50d1-3c42-4dc3-847b-6c71efd8cac9, Ly Thanh Mai, 3/26/1999 12:00:00 AM, Male, e58c325d-a94f-4442-ad2b-1aa50df15a9a
d4c51ea0-788b-44dd-ae0e-6482c0900a18, Kha Ngoc Mai, 7/1/2001 12:00:00 AM, Female, 7635c35a-928a-4219-8fff-7879f28d9cd3
fd18a0e1-d454-4b4d-8ad8-bcfcc35aa774, Nguyen Trung Phuong, 7/2/2005 12:00:00 AM, Female, 7ab1de6b-90b1-4370-8344-30a9b67420cf
cf3f7625-23ea-4964-b990-850c02838a2f, Kha Thanh Han, 7/22/2002 12:00:00 AM, Female, b48c6ad3-4be4-408b-8d7f-c2ea5de918c1
d47a0fad-f361-4ed3-ac80-8b8fbb7adf75, Nguyen Ngoc Phuong, 7/1/2001 12:00:00 AM, Male, d79f1cf2-aa4f-4b04-a875-db75fa26d542
9ea911f8-3881-412b-9958-b72a98c8a0fc, Kha Thanh Mai, 7/3/2004 12:00:00 AM, Female, 46012dd1-09e7-40b8-b8d8-def26a2adb77
9cb9fa8c-fb00-46e0-8ac6-58ff8a806562, Nguyen Ngoc Mai, 10/2/2002 12:00:00 AM, Female, 8eadbe6e-80a5-4ce0-a5f7-f6b4d815208e
ba5b95ea-fc01-4910-b29c-8f10b3a7d212, Le Ngoc Han, 12/24/2001 12:00:00 AM, Female, 1a42fbd5-a089-47a4-992f-b3e961abd665
41f9d3dc-1dc0-4453-9e52-5bb9ade4fc81, Lam Ngoc Phuong, 11/12/1999 12:00:00 AM, Male, 3577491f-d197-440c-979b-42c36385d199
831a6e04-2026-4174-a2af-da918e43fa45, Lam Thanh Cuong, 10/29/2002 12:00:00 AM, Male, 746fd31a-919d-428f-ae0d-790061c9f29c
b58c2dd5-a2a5-4208-9ca5-6d5d57b16921, Kha Ngoc Phuong, 8/15/2001 12:00:00 AM, Female, 73e15273-008b-42c9-9f0a-71c79ce096f0
7f0b6edb-ce5b-40bc-80b2-41be61691301, Lam Ngoc Cuong, 6/22/2003 12:00:00 AM, Male, 80da70e5-64db-4510-8420-a9768fc11267
6bdc3e02-8aeb-477f-b80d-78cc4a8176b9, Kha Trung Cong, 10/10/2001 12:00:00 AM, Male, 60a602cc-8670-4541-81c8-95e5b7a3e6c6
4d1f284f-159d-4211-81a4-5ebc4ab957b3, Nguyen Trung Phuong, 10/28/2005 12:00:00 AM, Female, 9039e2f0-78c6-4705-822f-c67425bcbaa9
