ID, Name, Birthday, Gender, Class
b285bea1-3295-4034-a28c-34dcf89eb007, Dinh Quang Ha, 3/20/2001 12:00:00 AM, F, ce32dee8-694b-4ce0-a469-fcf5c0a5ac4a
23aab1b8-0358-4b97-a4b5-aaa7e2a0d963, Ly Thanh Ha, 2/27/2003 12:00:00 AM, F, 7ad987fe-e74d-4c68-83dc-81260b9ae22d
55b2f94b-75ae-4be8-8a35-fc9480011f05, Ly Ngoc Thu, 1/15/2002 12:00:00 AM, F, 3ac37f1c-d933-4518-b245-f80655e42193
53b0b861-f8de-4d0a-ba2d-11c3a1c03b8b, Ly Hai Mai, 7/15/2004 12:00:00 AM, F, 1a1aa14c-8e1a-42f9-a232-7d8d4e9d3565
a3e40ee1-3519-4263-b49e-64da0e71531a, Le Hai Anh, 6/12/2005 12:00:00 AM, F, e22c5323-f113-49ce-ae42-3615d9b9bd53
ff42212b-0676-490b-a258-a4f561d41edc, Tran Ngoc Son, 9/7/2004 12:00:00 AM, M, 2054481c-c5aa-4f1c-9fa9-6100669656b0
7ce084d0-4450-40d8-9ba0-763a9157b1b2, Le Ly Tan, 6/7/2005 12:00:00 AM, M, 626fe20a-293f-4347-ba3d-59b279223ad6
79a5ba30-bf0b-4ef1-aa3c-8226ff6ac692, Nguyen Ngoc Phuong, 1/31/2003 12:00:00 AM, F, e22c5323-f113-49ce-ae42-3615d9b9bd53
4b4dd1b6-3192-4490-8748-c2e61f0f1adf, Ly Gia Anh, 4/26/2003 12:00:00 AM, F, 3ac37f1c-d933-4518-b245-f80655e42193
21dfecd2-4bb6-4064-a709-99c0f3fcde56, Le Gia Phuong, 8/31/2005 12:00:00 AM, F, 626fe20a-293f-4347-ba3d-59b279223ad6
0d04a132-dbc5-4b66-9d02-05650aec6bf4, Le Ly Anh, 11/20/2001 12:00:00 AM, F, 626fe20a-293f-4347-ba3d-59b279223ad6
8b203dfb-436a-4b88-9a26-60092ba53ea8, Nguyen Gia Loc, 7/26/2003 12:00:00 AM, M, e22c5323-f113-49ce-ae42-3615d9b9bd53
8f05d321-1183-4185-b61c-fc67b7fa302e, Ly Hai Phuong, 1/22/2003 12:00:00 AM, F, 998d7f96-f42f-4178-82a1-a166e04decce
c8aa2db2-69db-49e9-81ff-36f3da506265, Ly Thanh Tan, 12/29/2003 12:00:00 AM, M, 998d7f96-f42f-4178-82a1-a166e04decce
01829add-1c2a-4cd4-9a62-e4974ab00979, Tran Ly Giang, 11/25/2003 12:00:00 AM, F, e22c5323-f113-49ce-ae42-3615d9b9bd53
db9618af-7217-4f4b-8c88-3f69e6b2983a, Nguyen Ngoc Anh, 8/30/2002 12:00:00 AM, F, ce32dee8-694b-4ce0-a469-fcf5c0a5ac4a
3d5ffa83-6f2e-4897-b146-54fda2b7b76c, Tran Thanh Tan, 1/19/2001 12:00:00 AM, M, 626fe20a-293f-4347-ba3d-59b279223ad6
9767e647-ea5f-4185-a812-4e9a2ea5f260, Dinh Thanh Hung, 9/9/2004 12:00:00 AM, M, 998d7f96-f42f-4178-82a1-a166e04decce
eb8a0260-51df-4d1e-be64-b66c514c08e9, Le Gia Giang, 10/1/2001 12:00:00 AM, F, e22c5323-f113-49ce-ae42-3615d9b9bd53
952fef3d-19e9-4d26-8b92-29d103d0457f, Le Ly Son, 7/22/2001 12:00:00 AM, M, ce32dee8-694b-4ce0-a469-fcf5c0a5ac4a
3fa7d749-ac3a-446a-9c37-888ecc812013, Tran Thanh Giang, 1/24/2004 12:00:00 AM, F, 626fe20a-293f-4347-ba3d-59b279223ad6
d79fdfdd-1852-4558-9403-46c79ee5ebe0, Le Ly Mai, 6/17/2003 12:00:00 AM, F, 626fe20a-293f-4347-ba3d-59b279223ad6
8080d167-1022-4d17-a542-330db4dab84d, Dinh Thanh Phuong, 10/5/2004 12:00:00 AM, F, 998d7f96-f42f-4178-82a1-a166e04decce
f6f8e864-4658-4d73-b8a5-ab2b702f4f54, Le Quang Long, 10/13/2002 12:00:00 AM, M, 7ad987fe-e74d-4c68-83dc-81260b9ae22d
0c6e1ad0-b36c-489b-8e7a-db88fea4af9d, Le Gia Tan, 2/11/2006 12:00:00 AM, M, d9e8b150-1dad-4784-98ca-fb0e1fc1e77f
481964e5-c47a-46c9-a29f-fa31aae4e8af, Nguyen Thanh Anh, 1/24/2004 12:00:00 AM, F, e22c5323-f113-49ce-ae42-3615d9b9bd53
f2dbb8ef-c3fe-41c1-90e1-ae898c04823b, Le Ly Ha, 10/11/2004 12:00:00 AM, F, d9e8b150-1dad-4784-98ca-fb0e1fc1e77f
229bd724-b6e8-4e6f-83a9-606e35ea2106, Le Ly Mai, 8/9/2001 12:00:00 AM, F, 626fe20a-293f-4347-ba3d-59b279223ad6
23638e73-20b8-42b1-83e3-973f1da40061, Nguyen Hai Tan, 1/28/2006 12:00:00 AM, M, 5158dd45-27cf-4625-83c6-0d56578fbc26
ee33cff2-bb72-4114-b327-9b38e0eca779, Le Ly Son, 2/22/2003 12:00:00 AM, M, 998d7f96-f42f-4178-82a1-a166e04decce
06562807-bc79-43c4-b945-e3ee253e4147, Tran Quang Tan, 10/9/2005 12:00:00 AM, M, ce32dee8-694b-4ce0-a469-fcf5c0a5ac4a
3b2921fd-6db9-4488-8d9a-c46567023397, Ly Gia Thu, 1/2/2003 12:00:00 AM, F, 3ac37f1c-d933-4518-b245-f80655e42193
d1337147-0cc3-4f83-9785-a7344188868d, Nguyen Hai Ha, 7/10/2002 12:00:00 AM, F, e22c5323-f113-49ce-ae42-3615d9b9bd53
0452cc0a-c9bc-4155-8cd6-f4877141d171, Le Thanh Duc, 10/30/2004 12:00:00 AM, M, 7ad987fe-e74d-4c68-83dc-81260b9ae22d
d7d76360-0035-4d71-93eb-dbfd3cc497b9, Tran Ly Loc, 6/4/2002 12:00:00 AM, M, 626fe20a-293f-4347-ba3d-59b279223ad6
2cf4506a-78af-40e5-80d4-3840e8d3c711, Le Quang Son, 7/3/2005 12:00:00 AM, M, 2054481c-c5aa-4f1c-9fa9-6100669656b0
bfbd15be-811e-4875-afbb-3ac12b2cae3f, Nguyen Ngoc Anh, 10/1/2005 12:00:00 AM, F, 1a1aa14c-8e1a-42f9-a232-7d8d4e9d3565
2cb0b502-2371-4224-b04a-eb6f0c23f023, Tran Quang Loc, 8/12/2005 12:00:00 AM, M, 5158dd45-27cf-4625-83c6-0d56578fbc26
8cd714f1-fb0e-4a60-abdb-e4cd06ec1a84, Tran Gia Son, 6/25/2005 12:00:00 AM, M, 998d7f96-f42f-4178-82a1-a166e04decce
bd5ca29c-e86f-4886-a43e-b51ae676db32, Ly Quang Long, 1/1/2006 12:00:00 AM, M, 1a1aa14c-8e1a-42f9-a232-7d8d4e9d3565
fa88156e-06d0-4d56-8a00-9092da63a99e, Le Thanh Giang, 3/25/2003 12:00:00 AM, F, ce32dee8-694b-4ce0-a469-fcf5c0a5ac4a
f16b645d-ca16-4113-ade2-2273ec347c33, Le Ly Giang, 3/14/2002 12:00:00 AM, F, ce32dee8-694b-4ce0-a469-fcf5c0a5ac4a
0bc2c9d9-c1b0-4a1e-acc7-a19c00d4bde7, Dinh Thanh Long, 12/2/2005 12:00:00 AM, M, 3ac37f1c-d933-4518-b245-f80655e42193
