ID, Name, Gender, Field
07c8a822-3804-40ed-836a-64367214cfbf, Tran Thanh Hung, M, e7901f8b-b366-4fb3-8d8c-7e7ddb9cfa1c
6045c29e-a748-4dda-9ce7-3cc31d71a149, Le Ly Mai, F, f8d88049-7275-49b9-9a03-76dbaf322b79
08125bff-87d8-4701-b810-235cd75d5e23, Ly Thanh Tan, M, e7901f8b-b366-4fb3-8d8c-7e7ddb9cfa1c
1f423ad5-021f-4c64-a161-a2f6474721ef, Dinh Thanh Duc, M, 22bb48ab-a5f1-4ffa-85ab-3d778054c115
61b313ed-df95-4161-be96-b78c2aede848, Dinh Ly Phuong, F, e7901f8b-b366-4fb3-8d8c-7e7ddb9cfa1c
3b6d01d1-cc07-430e-a833-dbf8ceb81d06, Dinh Ly Tan, M, 6fbcd9f3-028a-4285-a3a4-5a30e173f893
cea622b9-c06b-4506-841b-45f0cfd6c2b2, Dinh Hai Ha, F, db9f6d1c-8e78-4b8e-84ec-90f89d4380ef
c4425b5c-37fb-4c1e-b15b-459fdbc07d9b, Ly Ly Ha, F, 22bb48ab-a5f1-4ffa-85ab-3d778054c115
bf772dc1-49e5-4b97-a10b-529b65bea06d, Ly Ngoc Ha, F, 002266e3-27b4-4d21-a58c-aa90420fdd94
a98bb71f-3fbd-4303-8ef1-2a1fed3d786b, Le Ly Anh, F, 22bb48ab-a5f1-4ffa-85ab-3d778054c115
cd7ac98a-6768-45a0-8386-e43c9bf9fd96, Le Ngoc Long, M, f8d88049-7275-49b9-9a03-76dbaf322b79
63cd4aab-325c-42c2-8fc1-e33bcdb0cb7e, Nguyen Hai Duc, M, e7901f8b-b366-4fb3-8d8c-7e7ddb9cfa1c
b96e123e-9619-44f2-87f6-71c3e563863a, Nguyen Ngoc Anh, F, 002266e3-27b4-4d21-a58c-aa90420fdd94
12f57b23-73ff-419a-b7d4-f1ef17a362c2, Tran Hai Ha, F, 6fbcd9f3-028a-4285-a3a4-5a30e173f893
5e2d10a6-9a54-463b-aa47-e6b679207544, Nguyen Ngoc Son, M, a869e3b5-d92e-453b-b88f-4a5d23653c76
befdbd6c-8649-4bf8-ac18-d13628b55a16, Le Hai Hung, M, f301e1a1-fcca-459d-97ad-5aabba324b77
ab9eed89-2848-431c-b17d-273e5a5400a4, Ly Quang Anh, F, e7901f8b-b366-4fb3-8d8c-7e7ddb9cfa1c
0a58dd61-53ff-4af7-b6ad-535379c88390, Le Thanh Thu, F, f8d88049-7275-49b9-9a03-76dbaf322b79
e4e362e6-d408-44c3-8a40-c44413820acb, Ly Ly Loc, M, 6fbcd9f3-028a-4285-a3a4-5a30e173f893
a7857d99-3638-40fb-b117-59f3ef1065b6, Ly Ly Ha, F, 6fbcd9f3-028a-4285-a3a4-5a30e173f893
88d7f699-71e2-44e7-b77b-97dab5c76fef, Le Quang Mai, F, f8d88049-7275-49b9-9a03-76dbaf322b79
9aa2190c-b213-4f79-966f-395798bfdad1, Dinh Thanh Hung, M, e7901f8b-b366-4fb3-8d8c-7e7ddb9cfa1c
ba51c748-bb5c-4e56-b01f-c581e6b23677, Dinh Quang Duc, M, db9f6d1c-8e78-4b8e-84ec-90f89d4380ef
1884e016-abdc-409b-bacf-09bf7f757b8a, Tran Ngoc Ha, F, f8d88049-7275-49b9-9a03-76dbaf322b79
5c24dd6a-7292-43c2-a0db-cbba5328e2a9, Le Gia Long, M, 22bb48ab-a5f1-4ffa-85ab-3d778054c115
715bc92c-cbf9-4d14-b07c-d1acd6305147, Dinh Gia Loc, M, 22bb48ab-a5f1-4ffa-85ab-3d778054c115
4872bf29-1618-471d-976e-9fa33033f0b3, Le Hai Anh, F, f301e1a1-fcca-459d-97ad-5aabba324b77
17636d5a-4d04-487e-afe0-bc408e6d3401, Ly Thanh Son, M, 22bb48ab-a5f1-4ffa-85ab-3d778054c115
1e040eb8-443a-46c8-93fe-f09ae5fa64ad, Le Ngoc Phuong, F, f8d88049-7275-49b9-9a03-76dbaf322b79
cbbcd28e-e86f-48b4-b985-bb15f76ed7f2, Dinh Quang Anh, F, e7901f8b-b366-4fb3-8d8c-7e7ddb9cfa1c
