ID, Name, Gender, Field
2c3a4f40-906d-4eed-b2e2-64b92678dc7c, Le Thanh Ha, F, e09d0e73-1d69-4d20-9b33-e15caa054111
823deb6a-748c-43a8-9dca-9daf274a6a86, Tran Hai Giang, F, f3d56f3c-8ced-4f41-bff2-59732864ac49
cba0ea9d-506a-4187-a200-7180621e96cb, Nguyen Ly Son, M, c18a4a3d-bb5f-4246-bbe3-42ca8062bf9d
ff1d3635-f66c-41f2-a268-c5327b9d58e5, Dinh Ly Tan, M, 680198ca-ac31-4a38-9aab-0b1500d6f393
7b199777-fdc0-46aa-bffe-739ec9460b71, Tran Gia Giang, F, ab099808-d5bb-407c-beda-e7e49d1ff03a
b9d043a3-4937-4da2-bf67-131c3779a74d, Le Hai Duc, M, 08aca5a0-60dc-49b7-924f-445efa488312
70be9fab-8b5e-4fc7-be48-d3ed3d920574, Tran Ly Loc, M, ab099808-d5bb-407c-beda-e7e49d1ff03a
90eba493-5db8-4894-9159-42a4d6a2138c, Tran Quang Tan, M, 08aca5a0-60dc-49b7-924f-445efa488312
0045e4bb-643e-406a-9f1c-bf2b98628fba, Dinh Gia Phuong, F, f3d56f3c-8ced-4f41-bff2-59732864ac49
6570421b-9842-4802-a9be-5d3332f3448d, Nguyen Thanh Duc, M, 680198ca-ac31-4a38-9aab-0b1500d6f393
51ef00ef-9961-45d6-9188-ae80e9303e6f, Nguyen Ly Ha, F, 08aca5a0-60dc-49b7-924f-445efa488312
aa345ed0-e51e-414a-93c2-ab9226e9bccd, Le Ngoc Son, M, f3d56f3c-8ced-4f41-bff2-59732864ac49
e390fb06-7283-4425-957e-d5c53bf14129, Tran Thanh Tan, M, 5036f093-acac-4123-8584-c4907c07eb0e
2493c1a0-c131-4d0d-b006-e997bca7fdd8, Ly Ly Loc, M, f3d56f3c-8ced-4f41-bff2-59732864ac49
6fbfb04a-b06e-418d-a82d-5119b3b7ffda, Le Gia Hung, M, 5036f093-acac-4123-8584-c4907c07eb0e
4580474e-9847-4157-80cb-2c88f6260dca, Le Hai Tan, M, 08aca5a0-60dc-49b7-924f-445efa488312
1edf5b85-e918-44ff-bb95-4e196de3430e, Nguyen Thanh Phuong, F, ab099808-d5bb-407c-beda-e7e49d1ff03a
9109bb77-6142-4cc2-bbe7-c0884db91cde, Le Hai Son, M, d7c13721-5c7c-4a66-88cf-0f18c06b09fc
7c6a81f5-b3ca-4958-8df2-c9b1bc7fde31, Ly Hai Son, M, 680198ca-ac31-4a38-9aab-0b1500d6f393
22c4970b-e403-4487-b5c1-c4940ee9ebc5, Dinh Ngoc Mai, F, 5036f093-acac-4123-8584-c4907c07eb0e
a2b99737-1f65-428b-afa9-b402bb52e753, Tran Hai Hung, M, c18a4a3d-bb5f-4246-bbe3-42ca8062bf9d
02c2b898-0c63-4e92-87d5-2ccc2d3b80f8, Dinh Ngoc Mai, F, f3d56f3c-8ced-4f41-bff2-59732864ac49
290969f3-8bc2-46ea-8fe9-b0434f9257ab, Le Thanh Anh, F, f3d56f3c-8ced-4f41-bff2-59732864ac49
8b2b7fc7-7d80-4eee-94d8-65c463d400f5, Ly Ly Hung, M, e09d0e73-1d69-4d20-9b33-e15caa054111
a045a258-80bf-44d1-89fe-01e5fa14bd52, Dinh Ly Loc, M, f3d56f3c-8ced-4f41-bff2-59732864ac49
81b7b870-c6e4-4a75-9d4d-4a9084979ad7, Tran Hai Thu, F, d7c13721-5c7c-4a66-88cf-0f18c06b09fc
9cf762ad-2042-4326-bf2b-1f26884cb069, Tran Hai Tan, M, 5036f093-acac-4123-8584-c4907c07eb0e
ff66992d-3092-4b13-a928-7d85304ca5a9, Nguyen Quang Thu, F, 5036f093-acac-4123-8584-c4907c07eb0e
54b8ea4f-13e3-4e9b-80a2-7234ffca0111, Le Ngoc Son, M, 08aca5a0-60dc-49b7-924f-445efa488312
9f1d90a0-28e2-4afa-874f-f1e5052b14b2, Nguyen Thanh Tan, M, 08aca5a0-60dc-49b7-924f-445efa488312
