ID, Name, DOB, Gender, Class
2bf655e2-45c8-4c13-8cf6-51fbbcdf6a8a, Ly Hoang Khoa, 9/6/2004, Male, 9f610ad8-0b17-409d-b70a-ad94d395c22b
45d01832-33eb-4ced-ae9d-fb641230b068, Nguyen Ngoc Thang, 5/21/2004, Female, 204b8183-4e87-44ff-bc00-3f0ef592c3fe
d239a3f3-f46c-450f-831a-57bc2b8d4819, Ly Ngoc Anh, 4/20/2004, Female, 94bfc880-9168-4e9d-ae2b-39e8f21e1477
48c91ff2-c507-498c-a225-41b74a3db42c, Ly Thanh Hiep, 11/27/2004, Male, 27e47bc0-2093-473e-920c-6b4119476d95
c664a129-3d5c-41a2-a4bf-1c68cfcdbe3e, Le Quang Thanh, 2/23/2004, Female, 4f0c0797-c918-40fe-90c1-d0f3737a56ba
d9728606-a693-4227-9b90-c0b5c0e6a3ae, Dinh Thao Thang, 1/28/2003, Male, f43e1efd-6d17-4fa6-ae0f-4a1cc4a15f21
1f19a333-e462-432b-80f9-17544aeeac4c, Nguyen Ngoc Huy, 5/9/2004, Female, 622a0d88-1ac9-4263-94d1-842a56110e06
7790dc69-078e-4756-920c-663946201437, Ngo Thao Thang, 8/21/2004, Male, 3439103a-7bff-4891-90b9-88cf989e0542
ffe51bbb-0d85-44a7-8792-b6df087985ec, Le Quang Bao, 7/4/2003, Female, 751c74e0-fae1-40b4-9e0d-08f3130513c6
94e6a7ca-707f-46ad-85f6-7828e3302006, Ly Thao Thang, 5/28/2003, Female, 3439103a-7bff-4891-90b9-88cf989e0542
ab9882b0-e4e6-4d87-8ee8-f8d7eaa4ba2d, Ngo Quang Thang, 4/1/2005, Female, 74f54416-691b-4a46-875b-904635625c32
a65c825b-b31b-4f66-b75b-cde43f03eb15, Tran Trung Anh, 2/9/2003, Female, eaf74cac-4dce-4e60-a521-dcc75f319151
7d2e8e49-4c7b-41b7-815d-e741058f16b3, Le Thanh Anh, 7/24/2005, Female, 622a0d88-1ac9-4263-94d1-842a56110e06
5dc59851-73c1-4204-a813-9d1c796ca32c, Dinh Hoang Anh, 11/14/2004, Male, 204b8183-4e87-44ff-bc00-3f0ef592c3fe
4377fe89-d99c-4f79-a10e-00af2fbefaa4, Bui Quang Hiep, 9/9/2003, Male, 622a0d88-1ac9-4263-94d1-842a56110e06
d4aa2fa2-c4d3-4d24-a829-7403dd04b6b7, Dinh Thanh Khoa, 5/5/2003, Male, c56e398d-d913-4a4c-af68-7ed5a7b4d57e
138e0644-b103-4a67-ad63-9fb66e6c1b9f, Ly Quang Anh, 6/12/2004, Male, 204b8183-4e87-44ff-bc00-3f0ef592c3fe
970e0cc2-9f3d-4b93-9515-ac8b7d895782, Ly Quang Anh, 5/1/2004, Female, d382319c-8e91-4493-9a45-974669fd15e1
6ae93b89-c193-41fa-879d-11d4a8dc8104, Ngo Van Khoa, 10/30/2004, Male, 94bfc880-9168-4e9d-ae2b-39e8f21e1477
8130c299-8a89-4130-b1b9-4cc197afc73b, Bui Thanh Anh, 4/3/2004, Female, 751c74e0-fae1-40b4-9e0d-08f3130513c6
9360eab7-6ab9-4b8b-8ff0-607490ffdd9d, Ngo Thao Anh, 1/31/2003, Female, 204b8183-4e87-44ff-bc00-3f0ef592c3fe
c6cf672c-1517-4c7b-be39-e41188fdc219, Bui Ngoc Huy, 4/19/2003, Male, 204b8183-4e87-44ff-bc00-3f0ef592c3fe
